L;SM;EM;IM;SB;EB;IB;RB;DB
8.627485434742386;2408.0;0.0;4.0;202.0;0.0;0.0;59.0;218.0
4.601818351591928;2293.0;0.0;4.0;201.0;0.0;0.0;59.0;219.0
2.4563970544585163;2160.0;0.0;4.0;201.0;0.0;0.0;59.0;219.0
1.093714229830531;1979.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.5155593712475846;1808.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.48003678305633574;1731.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.6580938326656572;1691.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.7476538871214663;1641.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.7144590154592;1586.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.5872522824683635;1532.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.47756525170402375;1462.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.3705033959285597;1395.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.2674236123437771;1330.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.17341546761509938;1252.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.0965670027805663;1148.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.06325598506524296;1067.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.049969099650619554;993.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.040726792283553;930.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
0.036787120197257876;883.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
0.03273065982133975;832.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
0.02435782907646525;767.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
